accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
-15556,134,174,-1,0.03,-1.01,-188,-515,208,0.61,-6.81,1.31
-13576,-1246,932,-0.88,-0.06,-0.97,86,696,-231,4.79,11.68,-5.39
-15670,-232,24,-1.01,0.01,-1.02,-225,-247,508,0.05,-2.72,5.89
-15772,-368,-174,-1.01,0,-1.04,-234,-4,29,-0.09,0.99,-1.42
-15266,-610,108,-0.98,-0.02,-1.02,-229,-79,111,-0.02,-0.15,-0.17
-15492,-614,-26,-1,-0.02,-1.03,-235,-57,129,-0.11,0.18,0.11
-15414,-614,-52,-0.99,-0.02,-1.03,-225,-63,127,0.05,0.09,0.08
-15408,-572,102,-0.99,-0.01,-1.02,-225,-62,117,0.05,0.11,-0.08
-15434,-554,0,-0.99,-0.01,-1.03,-223,-67,129,0.08,0.03,0.11
-15420,-542,64,-0.99,-0.01,-1.02,-223,-66,121,0.08,0.05,-0.02
-15378,-532,46,-0.99,-0.01,-1.02,-227,-66,126,0.02,0.05,0.06
-15326,-486,32,-0.99,-0.01,-1.02,-218,-77,122,0.15,-0.12,0
-15372,-508,72,-0.99,-0.01,-1.02,-235,-67,119,-0.11,0.03,-0.05
-15376,-558,42,-0.99,-0.01,-1.02,-226,-72,115,0.03,-0.05,-0.11
-15424,-490,74,-0.99,-0.01,-1.02,-239,-59,124,-0.17,0.15,0.03
-15328,-530,42,-0.99,-0.01,-1.02,-227,-70,124,0.02,-0.02,0.03
-15340,-514,22,-0.99,-0.01,-1.02,-224,-84,125,0.06,-0.23,0.05
-15362,-560,46,-0.99,-0.01,-1.02,-228,-66,122,0,0.05,0
-15374,-504,18,-0.99,-0.01,-1.02,-223,-84,132,0.08,-0.23,0.15
-15402,-508,-2,-0.99,-0.01,-1.03,-237,-81,126,-0.14,-0.18,0.06
-15396,-452,102,-0.99,-0.01,-1.02,-232,-83,135,-0.06,-0.21,0.2
-15498,-464,64,-1,-0.01,-1.02,-233,-83,122,-0.08,-0.21,0
-15308,-558,90,-0.98,-0.01,-1.02,-220,-77,149,0.12,-0.12,0.41
-15386,-480,0,-0.99,-0.01,-1.03,-230,-81,128,-0.03,-0.18,0.09
-15434,-472,40,-0.99,-0.01,-1.02,-231,-66,131,-0.05,0.05,0.14
-15408,-594,24,-0.99,-0.02,-1.02,-231,-68,120,-0.05,0.02,-0.03
-15456,-516,-8,-0.99,-0.01,-1.03,-233,-65,118,-0.08,0.06,-0.06
-15472,-552,16,-0.99,-0.01,-1.02,-229,-82,119,-0.02,-0.2,-0.05
-15456,-518,48,-0.99,-0.01,-1.02,-233,-69,131,-0.08,0,0.14
-15390,-528,-8,-0.99,-0.01,-1.03,-234,-71,123,-0.09,-0.03,0.02
-15350,-606,-68,-0.99,-0.02,-1.03,-234,-53,120,-0.09,0.24,-0.03
-15406,-478,0,-0.99,-0.01,-1.03,-216,-74,110,0.18,-0.08,-0.18
-15380,-538,44,-0.99,-0.01,-1.02,-226,-69,107,0.03,0,-0.23
-15388,-458,-30,-0.99,-0.01,-1.03,-228,-64,129,0,0.08,0.11
-15328,-586,80,-0.99,-0.02,-1.02,-228,-67,122,0,0.03,0
-15372,-466,2,-0.99,-0.01,-1.02,-236,-75,136,-0.12,-0.09,0.21
-15406,-590,-20,-0.99,-0.02,-1.03,-223,-73,129,0.08,-0.06,0.11
-15376,-516,62,-0.99,-0.01,-1.02,-227,-87,125,0.02,-0.27,0.05
-15416,-508,-94,-0.99,-0.01,-1.03,-231,-87,131,-0.05,-0.27,0.14
-15406,-564,-18,-0.99,-0.01,-1.03,-229,-67,135,-0.02,0.03,0.2
-15370,-592,4,-0.99,-0.02,-1.02,-221,-66,129,0.11,0.05,0.11
-15352,-542,28,-0.99,-0.01,-1.02,-225,-65,116,0.05,0.06,-0.09
-15416,-476,36,-0.99,-0.01,-1.02,-231,-67,120,-0.05,0.03,-0.03
-15360,-592,-16,-0.99,-0.02,-1.03,-227,-62,132,0.02,0.11,0.15
-15402,-516,56,-0.99,-0.01,-1.02,-228,-58,137,0,0.17,0.23
-15384,-564,178,-0.99,-0.01,-1.01,-226,-70,110,0.03,-0.02,-0.18
-15460,-544,40,-0.99,-0.01,-1.02,-227,-66,131,0.02,0.05,0.14
-15402,-522,-50,-0.99,-0.01,-1.03,-233,-75,129,-0.08,-0.09,0.11
-15308,-516,98,-0.98,-0.01,-1.02,-227,-71,125,0.02,-0.03,0.05
-15406,-582,8,-0.99,-0.02,-1.02,-225,-77,117,0.05,-0.12,-0.08
-15418,-560,-78,-0.99,-0.01,-1.03,-230,-80,123,-0.03,-0.17,0.02
