accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
17300,-296,-136,1.01,0,-1.03,-235,-83,110,-0.11,-0.21,-0.18
17150,-454,112,1,-0.01,-1.02,-223,-47,125,0.08,0.34,0.05
17150,-410,180,1,-0.01,-1.01,-230,-80,124,-0.03,-0.17,0.03
17162,-380,122,1,0,-1.02,-225,-63,117,0.05,0.09,-0.08
17152,-290,130,1,0,-1.02,-226,-66,126,0.03,0.05,0.06
17236,-344,34,1,0,-1.02,-235,-75,125,-0.11,-0.09,0.05
17168,-314,-48,1,0,-1.03,-222,-68,127,0.09,0.02,0.08
17090,-318,150,0.99,0,-1.02,-222,-61,113,0.09,0.12,-0.14
17094,-302,-66,0.99,0,-1.03,-223,-72,116,0.08,-0.05,-0.09
17126,-326,106,1,0,-1.02,-230,-79,124,-0.03,-0.15,0.03
17070,-306,90,0.99,0,-1.02,-226,-69,127,0.03,0,0.08
17158,-340,14,1,0,-1.02,-230,-68,120,-0.03,0.02,-0.03
17146,-364,182,1,0,-1.01,-231,-68,125,-0.05,0.02,0.05
17068,-392,62,0.99,0,-1.02,-235,-66,123,-0.11,0.05,0.02
17156,-344,130,1,0,-1.02,-234,-70,119,-0.09,-0.02,-0.05
17146,-376,118,1,0,-1.02,-224,-65,120,0.06,0.06,-0.03
17180,-368,92,1,0,-1.02,-222,-54,115,0.09,0.23,-0.11
17138,-368,30,1,0,-1.02,-226,-67,118,0.03,0.03,-0.06
17138,-394,-76,1,0,-1.03,-229,-69,124,-0.02,0,0.03
17092,-360,-8,0.99,0,-1.03,-229,-62,127,-0.02,0.11,0.08
17184,-362,46,1,0,-1.02,-229,-68,112,-0.02,0.02,-0.15
17182,-334,30,1,0,-1.02,-223,-69,125,0.08,0,0.05
17130,-356,72,1,0,-1.02,-232,-69,118,-0.06,0,-0.06
17128,-352,96,1,0,-1.02,-221,-64,116,0.11,0.08,-0.09
17176,-234,56,1,0.01,-1.02,-223,-69,123,0.08,0,0.02
17246,-350,126,1,0,-1.02,-229,-73,129,-0.02,-0.06,0.11
17106,-312,62,0.99,0,-1.02,-229,-67,120,-0.02,0.03,-0.03
17126,-382,16,1,0,-1.02,-221,-67,125,0.11,0.03,0.05
17126,-324,66,1,0,-1.02,-230,-69,110,-0.03,0,-0.18
17172,-416,90,1,-0.01,-1.02,-236,-64,125,-0.12,0.08,0.05
17158,-246,78,1,0,-1.02,-229,-68,124,-0.02,0.02,0.03
17174,-480,122,1,-0.01,-1.02,-232,-61,126,-0.06,0.12,0.06
17180,-272,40,1,0,-1.02,-236,-74,124,-0.12,-0.08,0.03
17056,-376,112,0.99,0,-1.02,-235,-57,119,-0.11,0.18,-0.05
17100,-360,104,0.99,0,-1.02,-242,-65,125,-0.21,0.06,0.05
17208,-386,186,1,0,-1.01,-227,-58,120,0.02,0.17,-0.03
17114,-270,144,0.99,0,-1.02,-237,-59,122,-0.14,0.15,0
17134,-324,76,1,0,-1.02,-232,-77,129,-0.06,-0.12,0.11
17134,-348,132,1,0,-1.02,-228,-68,124,0,0.02,0.03
17202,-298,106,1,0,-1.02,-234,-67,129,-0.09,0.03,0.11
17206,-406,120,1,0,-1.02,-227,-67,126,0.02,0.03,0.06
17270,-272,162,1,0,-1.02,-229,-64,119,-0.02,0.08,-0.05
17154,-440,124,1,-0.01,-1.02,-235,-67,119,-0.11,0.03,-0.05
17274,-332,-58,1,0,-1.03,-225,-76,122,0.05,-0.11,0
17110,-276,28,0.99,0,-1.02,-230,-77,127,-0.03,-0.12,0.08
17126,-350,-6,1,0,-1.03,-228,-75,124,0,-0.09,0.03
17152,-406,18,1,0,-1.02,-230,-72,115,-0.03,-0.05,-0.11
17156,-390,98,1,0,-1.02,-227,-71,122,0.02,-0.03,0
17204,-282,152,1,0,-1.02,-230,-60,119,-0.03,0.14,-0.05
17260,-322,194,1,0,-1.01,-227,-73,116,0.02,-0.06,-0.09
17158,-318,26,1,0,-1.02,-226,-67,127,0.03,0.03,0.08
17246,-436,128,1,-0.01,-1.02,-226,-61,125,0.03,0.12,0.05
17154,-282,132,1,0,-1.02,-221,-67,117,0.11,0.03,-0.08
17174,-410,102,1,-0.01,-1.02,-224,-65,123,0.06,0.06,0.02
17092,-324,136,0.99,0,-1.02,-234,-63,124,-0.09,0.09,0.03
17144,-386,124,1,0,-1.02,-234,-73,125,-0.09,-0.06,0.05
17174,-330,18,1,0,-1.02,-241,-68,114,-0.2,0.02,-0.12
