accX,accY,accZ,accX_cal,accY_cal,accZ_cal,gyroX,gyroY,gyroZ,gyroX_cal,gyroY_cal,gyroZ_cal
1172,-16802,-206,0.02,-1.01,-1.04,-189,-64,143,0.6,0.08,0.32
1192,-16822,-286,0.02,-1.01,-1.04,-218,-72,124,0.15,-0.05,0.03
1094,-16816,-192,0.02,-1.01,-1.04,-239,-75,122,-0.17,-0.09,0
1186,-16760,-264,0.02,-1,-1.04,-256,-68,122,-0.43,0.02,0
1160,-16844,-172,0.02,-1.01,-1.04,-248,-64,114,-0.31,0.08,-0.12
1120,-16868,-46,0.02,-1.01,-1.03,-242,-65,115,-0.21,0.06,-0.11
1100,-16740,-238,0.02,-1,-1.04,-231,-62,113,-0.05,0.11,-0.14
1058,-16814,18,0.01,-1.01,-1.02,-227,-79,116,0.02,-0.15,-0.09
1136,-16780,-172,0.02,-1,-1.04,-223,-65,130,0.08,0.06,0.12
1050,-16792,-60,0.01,-1,-1.03,-222,-62,131,0.09,0.11,0.14
1122,-16846,-124,0.02,-1.01,-1.03,-221,-69,126,0.11,0,0.06
1172,-16780,-200,0.02,-1,-1.04,-222,-61,128,0.09,0.12,0.09
1098,-16894,-158,0.02,-1.01,-1.03,-241,-70,123,-0.2,-0.02,0.02
1016,-16830,-88,0.01,-1.01,-1.03,-250,-64,102,-0.34,0.08,-0.31
1002,-16796,-82,0.01,-1.01,-1.03,-231,-69,126,-0.05,0,0.06
1098,-16708,-62,0.02,-1,-1.03,-214,-72,132,0.21,-0.05,0.15
1010,-16874,-78,0.01,-1.01,-1.03,-199,-60,147,0.44,0.14,0.38
1126,-16846,-204,0.02,-1.01,-1.04,-204,-69,143,0.37,0,0.32
1072,-16866,-126,0.02,-1.01,-1.03,-209,-61,129,0.29,0.12,0.11
1146,-16898,-184,0.02,-1.01,-1.04,-226,-72,145,0.03,-0.05,0.35
1188,-16854,-210,0.02,-1.01,-1.04,-235,-73,131,-0.11,-0.06,0.14
1198,-16824,-150,0.02,-1.01,-1.03,-239,-81,121,-0.17,-0.18,-0.02
1100,-16786,-242,0.02,-1,-1.04,-246,-66,126,-0.27,0.05,0.06
1186,-16772,-98,0.02,-1,-1.03,-240,-70,120,-0.18,-0.02,-0.03
1094,-16820,-138,0.02,-1.01,-1.03,-235,-67,118,-0.11,0.03,-0.06
1192,-16794,-164,0.02,-1.01,-1.04,-239,-73,104,-0.17,-0.06,-0.27
1048,-16798,-252,0.01,-1.01,-1.04,-235,-73,115,-0.11,-0.06,-0.11
1132,-16782,-190,0.02,-1,-1.04,-245,-73,110,-0.26,-0.06,-0.18
1056,-16896,-216,0.01,-1.01,-1.04,-250,-69,110,-0.34,0,-0.18
